Base Year,Year,Indicator,Frequency,Revision,Industry,Subindustry,Institutional Sector,Quarter,Current Price,Constant Price,Unit,Sector Name,Period,Price Difference
2022-23,2022-23,Gross Value Added,Annual,Final Estimates,Manufacturing,N/A,,N/A,3482190.141,3482190.141,₹ Crore,Manufacturing,2022-23-Annual,0
2011-12,2022-23,Gross Value Added,Annual,Final Estimates,Financial Services,N/A,,N/A,1452678.551,903367.9275,₹ Crore,Financial Services,2022-23-Annual,549310.6235
2011-12,2022-23,Gross Fixed Capital Formation,Annual,Final Estimates,,N/A,Household Sector,N/A,3598246.537,2262238.644,₹ Crore,Household Sector,2022-23-Annual,1336007.893
2011-12,2025-26,Gross Value Added,Annual,First Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",N/A,,N/A,5427908,2554071.207,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2025-26-Annual,2873836.793
2011-12,2025-26,Gross Value Added,Annual,First Advance Estimates,Mining and Quarrying,N/A,,N/A,508554,336550.0692,₹ Crore,Mining and Quarrying,2025-26-Annual,172003.9308
2011-12,2025-26,Gross Value Added,Annual,First Advance Estimates,Manufacturing,N/A,Current,N/A,4554580,3161363.993,₹ Crore,Manufacturing,2025-26-Annual,1393216.007
2011-12,2025-26,Gross Value Added,Annual,First Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",N/A,,N/A,817265,413702.0036,₹ Crore,"Electricity, Gas, Water Supply & Other Utility Services",2025-26-Annual,403562.9964
2011-12,2025-26,Gross Value Added,Annual,First Advance Estimates,Construction,N/A,,N/A,2799847,1682792.355,₹ Crore,Construction,2025-26-Annual,1117054.645
2011-12,2025-26,Gross Value Added,Annual,First Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",N/A,,N/A,5640741,3415552.426,₹ Crore,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",2025-26-Annual,2225188.574
2011-12,2025-26,Gross Value Added,Annual,First Advance Estimates,"Financial, Real Estate & Professional Services",N/A,,N/A,7657155,4494341.359,₹ Crore,"Financial, Real Estate & Professional Services",2025-26-Annual,3162813.641
2011-12,2025-26,Gross Value Added,Annual,First Advance Estimates,"Public Administration, Defence & Other Services",N/A,,N/A,4941823,2391454.854,₹ Crore,"Public Administration, Defence & Other Services",2025-26-Annual,2550368.146
2011-12,2025-26,Gross Value Added,Annual,First Advance Estimates,Total Gross Value Added,N/A,,N/A,32347873,18449828.27,₹ Crore,Total Gross Value Added,2025-26-Annual,13898044.73
2022-23,2025-26,Gross Value Added,Annual,Second Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",N/A,,N/A,5608471.246,5208799.64,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2025-26-Annual,399671.606
2022-23,2025-26,Gross Value Added,Annual,Second Advance Estimates,Mining and Quarrying,N/A,,N/A,587961.9767,602174.8885,₹ Crore,Mining and Quarrying,2025-26-Annual,-14212.9118
2022-23,2025-26,Gross Value Added,Annual,Second Advance Estimates,Manufacturing,N/A,,N/A,4653866.517,4783866.499,₹ Crore,Manufacturing,2025-26-Annual,-129999.982
2022-23,2025-26,Gross Value Added,Annual,Second Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",N/A,,N/A,820732.8415,681742.8917,₹ Crore,"Electricity, Gas, Water Supply & Other Utility Services",2025-26-Annual,138989.9498
2022-23,2025-26,Gross Value Added,Annual,Second Advance Estimates,Construction,N/A,,N/A,2645035.72,2663549.939,₹ Crore,Construction,2025-26-Annual,-18514.219
2022-23,2025-26,Gross Value Added,Annual,Second Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",N/A,,N/A,4457694.539,4220101.809,₹ Crore,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",2025-26-Annual,237592.73
2022-23,2025-26,Gross Value Added,Annual,Second Advance Estimates,"Financial, Real Estate & Professional Services",N/A,,N/A,8475798.871,7673724.517,₹ Crore,"Financial, Real Estate & Professional Services",2025-26-Annual,802074.354
2022-23,2025-26,Gross Value Added,Annual,Second Advance Estimates,"Public Administration, Defence & Other Services",N/A,,N/A,4111284.378,3605947.574,₹ Crore,"Public Administration, Defence & Other Services",2025-26-Annual,505336.804
2022-23,2025-26,Gross Value Added,Annual,Second Advance Estimates,Total Gross Value Added,N/A,,N/A,31360846.09,29439907.76,₹ Crore,Total Gross Value Added,2025-26-Annual,1920938.33
2011-12,2024-25,Gross Value Added,Annual,First Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",N/A,,N/A,5199546.602,2391764.392,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2024-25-Annual,2807782.21
2011-12,2024-25,Gross Value Added,Annual,First Advance Estimates,Mining and Quarrying,N/A,,N/A,539567.489,347271.3347,₹ Crore,Mining and Quarrying,2024-25-Annual,192296.1543
2011-12,2024-25,Gross Value Added,Annual,First Advance Estimates,Manufacturing,N/A,,N/A,4070761.913,2898161.552,₹ Crore,Manufacturing,2024-25-Annual,1172600.361
2011-12,2024-25,Gross Value Added,Annual,First Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",N/A,,N/A,682356.1562,399781.0315,₹ Crore,"Electricity, Gas, Water Supply & Other Utility Services",2024-25-Annual,282575.1247
2011-12,2024-25,Gross Value Added,Annual,First Advance Estimates,Construction,N/A,,N/A,2588257.008,1559160.281,₹ Crore,Construction,2024-25-Annual,1029096.727
2011-12,2024-25,Gross Value Added,Annual,First Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",N/A,,N/A,5057474.635,3128534.063,₹ Crore,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",2024-25-Annual,1928940.572
2011-12,2024-25,Gross Value Added,Annual,First Advance Estimates,"Financial, Real Estate & Professional Services",N/A,,N/A,6686881.729,3960232.462,₹ Crore,"Financial, Real Estate & Professional Services",2024-25-Annual,2726649.267
2011-12,2024-25,Gross Value Added,Annual,First Advance Estimates,"Public Administration, Defence & Other Services",N/A,,N/A,4438763.183,2206289.97,₹ Crore,"Public Administration, Defence & Other Services",2024-25-Annual,2232473.213
2011-12,2024-25,Gross Value Added,Annual,First Advance Estimates,Total Gross Value Added,N/A,,N/A,29263608.72,16891195.08,₹ Crore,Total Gross Value Added,2024-25-Annual,12372413.64
2011-12,2024-25,Gross Value Added,Annual,Second Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",N/A,,N/A,5413355.758,2476032.497,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2024-25-Annual,2937323.261
2011-12,2024-25,Gross Value Added,Annual,Second Advance Estimates,Mining and Quarrying,N/A,,N/A,543676.4118,339104.1148,₹ Crore,Mining and Quarrying,2024-25-Annual,204572.297
2011-12,2024-25,Gross Value Added,Annual,Second Advance Estimates,Manufacturing,N/A,,N/A,4149054.183,2947185.556,₹ Crore,Manufacturing,2024-25-Annual,1201868.627
2011-12,2024-25,Gross Value Added,Annual,Second Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",N/A,,N/A,796692.3643,405839.9872,₹ Crore,"Electricity, Gas, Water Supply & Other Utility Services",2024-25-Annual,390852.3771
2011-12,2024-25,Gross Value Added,Annual,Second Advance Estimates,Construction,N/A,,N/A,2609255.487,1561956.976,₹ Crore,Construction,2024-25-Annual,1047298.511
2011-12,2024-25,Gross Value Added,Annual,Second Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",N/A,,N/A,5263368.14,3185439.421,₹ Crore,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",2024-25-Annual,2077928.719
2011-12,2024-25,Gross Value Added,Annual,Second Advance Estimates,"Financial, Real Estate & Professional Services",N/A,,N/A,6883779.608,4089647.966,₹ Crore,"Financial, Real Estate & Professional Services",2024-25-Annual,2794131.642
2011-12,2024-25,Gross Value Added,Annual,Second Advance Estimates,"Public Administration, Defence & Other Services",N/A,,N/A,4355711.11,2174635.331,₹ Crore,"Public Administration, Defence & Other Services",2024-25-Annual,2181075.779
2011-12,2024-25,Gross Value Added,Annual,Second Advance Estimates,Total Gross Value Added,N/A,,N/A,30014893.06,17179841.85,₹ Crore,Total Gross Value Added,2024-25-Annual,12835051.21
2011-12,2024-25,Gross Value Added,Annual,Provisional Estimates,"Agriculture, Livestock, Forestry and Fishing",N/A,,N/A,5385290.844,2476804.99,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2024-25-Annual,2908485.854
2011-12,2024-25,Gross Value Added,Annual,Provisional Estimates,Mining and Quarrying,N/A,,N/A,540787.5421,338883.983,₹ Crore,Mining and Quarrying,2024-25-Annual,201903.5591
2011-12,2024-25,Gross Value Added,Annual,Provisional Estimates,Manufacturing,N/A,,N/A,4169418.713,2953646.67,₹ Crore,Manufacturing,2024-25-Annual,1215772.043
2011-12,2024-25,Gross Value Added,Annual,Provisional Estimates,"Electricity, Gas, Water Supply & Other Utility Services",N/A,,N/A,806974.262,405295.9385,₹ Crore,"Electricity, Gas, Water Supply & Other Utility Services",2024-25-Annual,401678.3235
2011-12,2024-25,Gross Value Added,Annual,Provisional Estimates,Construction,N/A,,N/A,2627009.031,1572285.306,₹ Crore,Construction,2024-25-Annual,1054723.725
2011-12,2024-25,Gross Value Added,Annual,Provisional Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",N/A,,N/A,5257396.065,3176829.841,₹ Crore,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",2024-25-Annual,2080566.224
2011-12,2024-25,Gross Value Added,Annual,Provisional Estimates,"Financial, Real Estate & Professional Services",N/A,,N/A,6881866.039,4088071.596,₹ Crore,"Financial, Real Estate & Professional Services",2024-25-Annual,2793794.443
2011-12,2024-25,Gross Value Added,Annual,Provisional Estimates,"Public Administration, Defence & Other Services",N/A,,N/A,4353290.292,2175627.886,₹ Crore,"Public Administration, Defence & Other Services",2024-25-Annual,2177662.406
2011-12,2024-25,Gross Value Added,Annual,Provisional Estimates,Total Gross Value Added,N/A,,N/A,30022032.79,17187446.21,₹ Crore,Total Gross Value Added,2024-25-Annual,12834586.58
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,,N/A,Public Non-Financial Corporations,N/A,1551904.311,,₹ Crore,Public Non-Financial Corporations,2024-25-Annual,1551904.311
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,,N/A,Private Non-Financial Corporations,N/A,9555601.403,,₹ Crore,Private Non-Financial Corporations,2024-25-Annual,9555601.403
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,,N/A,Public Financial Corporations,N/A,780342.4093,,₹ Crore,Public Financial Corporations,2024-25-Annual,780342.4093
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,,N/A,Private Financial Corporations,N/A,1059339.323,,₹ Crore,Private Financial Corporations,2024-25-Annual,1059339.323
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,,N/A,General Government,N/A,2656799.96,,₹ Crore,General Government,2024-25-Annual,2656799.96
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,,N/A,Households Including NPISH,N/A,13250480.02,,₹ Crore,Households Including NPISH,2024-25-Annual,13250480.02
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,,N/A,Total Gross Value Added,N/A,28854467.43,,₹ Crore,Total Gross Value Added,2024-25-Annual,28854467.43
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,,N/A,3487514.539,3113280.932,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2024-25-Annual,374233.607
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,,N/A,1387062.691,1278634.34,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2024-25-Annual,108428.351
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,N/A,408682.0268,414487.8317,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2024-25-Annual,-5805.8049
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,N/A,306423.5479,279129.3153,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2024-25-Annual,27294.2326
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",N/A,,N/A,5589682.805,5085532.419,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2024-25-Annual,504150.386
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,Mining and Quarrying,N/A,,N/A,572560.0079,578567.8609,₹ Crore,Mining and Quarrying,2024-25-Annual,-6007.853
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,"Food Products, Beverages and Tobacco",,N/A,496100.8009,491352.2293,₹ Crore,Manufacturing,2024-25-Annual,4748.5716
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,"Textiles, Apparel and Leather Products",,N/A,433858.8939,411703.0036,₹ Crore,Manufacturing,2024-25-Annual,22155.8903
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Metal Products,,N/A,580213.6557,765514.6673,₹ Crore,Manufacturing,2024-25-Annual,-185301.0116
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Machinery and Equipment,,N/A,1098354.375,974222.3734,₹ Crore,Manufacturing,2024-25-Annual,124132.0016
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,Other Manufactured Goods,,N/A,1570704.509,1646444.901,₹ Crore,Manufacturing,2024-25-Annual,-75740.392
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,Manufacturing,N/A,,N/A,4179232.235,4289237.175,₹ Crore,Manufacturing,2024-25-Annual,-110004.94
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Electricity, Gas, Water Supply & Other Utility Services",N/A,,N/A,805618.7535,671525.2616,₹ Crore,"Electricity, Gas, Water Supply & Other Utility Services",2024-25-Annual,134093.4919
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,Construction,N/A,,N/A,2449208.244,2487429.557,₹ Crore,Construction,2024-25-Annual,-38221.313
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",N/A,,N/A,3997995.239,3831990.765,₹ Crore,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",2024-25-Annual,166004.474
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,N/A,2075945.818,1984250.994,₹ Crore,"Trade, Repair, Hotels and Restaurants",2024-25-Annual,91694.824
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,N/A,375488.4055,333622.5041,₹ Crore,"Trade, Repair, Hotels and Restaurants",2024-25-Annual,41865.9014
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Trade, Repair, Hotels and Restaurants",N/A,,N/A,2451434.223,2317873.499,₹ Crore,"Trade, Repair, Hotels and Restaurants",2024-25-Annual,133560.724
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,N/A,166899.5497,156355.3988,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2024-25-Annual,10544.1509
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,N/A,675305.4958,659337.8662,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2024-25-Annual,15967.6296
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,N/A,24067.40406,21288.30933,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2024-25-Annual,2779.09473
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,N/A,42219.20591,27548.55268,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2024-25-Annual,14670.65323
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,N/A,165550.6058,148821.341,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2024-25-Annual,16729.2648
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,N/A,43732.32476,33187.4001,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2024-25-Annual,10544.92466
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,N/A,428786.4293,467578.8275,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2024-25-Annual,-38792.3982
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",N/A,,N/A,1546561.015,1514117.696,₹ Crore,"Transport, Storage, Communication & Services Related to Broadcasting",2024-25-Annual,32443.319
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Financial, Real Estate & Professional Services",N/A,,N/A,7549123.743,6983732.923,₹ Crore,"Financial, Real Estate & Professional Services",2024-25-Annual,565390.82
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,Financial Services,N/A,,N/A,1839681.732,1738669.732,₹ Crore,Financial Services,2024-25-Annual,101012
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Real Estate, Ownership of Dwelling & Professional Services",N/A,,N/A,5709442.011,5245063.19,₹ Crore,"Real Estate, Ownership of Dwelling & Professional Services",2024-25-Annual,464378.821
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,"Public Administration, Defence & Other Services",N/A,,N/A,3711046.401,3408478.769,₹ Crore,"Public Administration, Defence & Other Services",2024-25-Annual,302567.632
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,Public Administration and Defence,N/A,,N/A,1629400.23,1514461.314,₹ Crore,Public Administration and Defence,2024-25-Annual,114938.916
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,Other Services,N/A,,N/A,2081646.171,1894017.455,₹ Crore,Other Services,2024-25-Annual,187628.716
2022-23,2024-25,Gross Value Added,Annual,First Revised Estimates,Total Gross Value Added,N/A,,N/A,28854467.43,27336495.16,₹ Crore,Total Gross Value Added,2024-25-Annual,1517972.27
2011-12,2023-24,Gross Value Added,Annual,First Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",N/A,,N/A,4809250.687,2274933.328,₹ Crore,"Agriculture, Livestock, Forestry and Fishing",2023-24-Annual,2534317.359
2011-12,2023-24,Gross Value Added,Annual,First Advance Estimates,Mining and Quarrying,N/A,,N/A,617395.7347,350869.7298,₹ Crore,Mining and Quarrying,2023-24-Annual,266526.0049
2011-12,2023-24,Gross Value Added,Annual,First Advance Estimates,Manufacturing,N/A,,N/A,3796269.566,2788055.805,₹ Crore,Manufacturing,2023-24-Annual,1008213.761
2011-12,2023-24,Gross Value Added,Annual,First Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",N/A,,N/A,809604.8836,372918.7662,₹ Crore,"Electricity, Gas, Water Supply & Other Utility Services",2023-24-Annual,436686.1174
2011-12,2023-24,Gross Value Added,Annual,First Advance Estimates,Construction,N/A,,N/A,2221363.235,1375800.431,₹ Crore,Construction,2023-24-Annual,845562.804
2011-12,2023-24,Gross Value Added,Annual,First Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",N/A,,N/A,4707727.54,2977007.222,₹ Crore,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",2023-24-Annual,1730720.318
2011-12,2023-24,Gross Value Added,Annual,First Advance Estimates,"Financial, Real Estate & Professional Services",N/A,,N/A,5826764.951,3615545.059,₹ Crore,"Financial, Real Estate & Professional Services",2023-24-Annual,2211219.892
2011-12,2023-24,Gross Value Added,Annual,First Advance Estimates,"Public Administration, Defence & Other Services",N/A,,N/A,3923818.648,2027026.204,₹ Crore,"Public Administration, Defence & Other Services",2023-24-Annual,1896792.444
